Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,1.3,-1.363808574218033,-0.4839092988582627,-1.3974957796949687,-1.3934936169534922,0.02570901951460791,-0.17625474582695896,-0.02802307817607472,0.3742721421987994,-0.5096503862068803,-0.21966491160965182,0.028239365886314084,-0.6517686727939963,0.15241554477705968
2,1.3,-1.3828857560060235,-0.48275705313296946,-1.4161590200737033,-1.3946690976619722,0.028506766478614276,-0.16471717732681332,-0.016485509675929072,0.38580971069894504,-0.521187954707026,-0.23120248010979746,0.03977693438645973,-0.663306241294142,0.14087797627691404
3,1.3,-1.3609687109509672,-0.45141467188079454,-1.3933051602503315,-1.393603424169123,0.03085696408192362,-0.15578210611517737,-0.007550438464293124,0.394744781910581,-0.5301230259186619,-0.22226740889816152,0.030841863174823785,-0.6722413125057779,0.14981304748854998
4,1.3,-1.3693671387017927,-0.4164935307401334,-1.4012460738119794,-1.388990119658411,0.03800284717959812,-0.16906344711582505,0.005730902536354547,0.40802612291122864,-0.5168416849180142,-0.20898606789751384,0.017560522174176113,-0.6589599715051302,0.1365317064879023
5,1.3,-1.354486561608462,-0.4651717990420243,-1.3870953407823365,-1.3880466548725965,0.03665275438286231,-0.17501778623412748,0.011685241654656984,0.4020717837929262,-0.5227960240363166,-0.2030317287792114,0.011606183055873676,-0.6649143106234326,0.14248604560620473
6,1.3,-1.3647859953086616,-0.4711921425143648,-1.3978413954767333,-1.3881874375045302,0.03935047155263849,-0.17102568116118746,0.007693136581716964,0.4060638888658662,-0.5267881291092567,-0.20702383385215142,0.007614077982933657,-0.6689064156963727,0.13849394053326472
7,1.3,-1.3664233815438451,-0.4805122991467783,-1.3989994811327784,-1.3881574625149369,0.04015711207721839,-0.1684149034172168,0.005082358837746299,0.40867466660983687,-0.5293989068532273,-0.2096346115961221,0.005003300238962991,-0.6715171934403433,0.1411047182772354
8,1.3,-1.3726682309268365,-0.4826857695958666,-1.4060939997242423,-1.3883532434701922,0.040285101705705983,-0.16737909774825965,0.0040465531687891585,0.40763886094087975,-0.5283631011842702,-0.20859880592716495,0.003967494570005851,-0.6704813877713862,0.14006891260827825
9,1.3,-1.3677864682757348,-0.4726002790334469,-1.4012231302681208,-1.3875061824917794,0.040900422984436524,-0.17032610468697743,0.0069935601075069385,0.41058586787959755,-0.5254160942455525,-0.20565179898844718,0.006914501508723631,-0.673428394710104,0.13712190566956048
10,1.3,-1.361039259430418,-0.5368910002394547,-1.3944323486428822,-1.387730462104082,0.04056426361473542,-0.16682501323679685,0.010494651557687511,0.4140869593297781,-0.5289171856957331,-0.20915289043862775,0.010415592958904204,-0.6769294861602846,0.14062299711974105
11,1.3,-1.349477167162157,-0.5048429260659062,-1.3824236353804245,-1.3876817751675845,0.043063131315258296,-0.16331519554501317,0.00698483386590382,0.41759677702156184,-0.5324270033875168,-0.21266270813041144,0.006905775267120513,-0.6804393038520683,0.13711317942795737
12,1.3,-1.3574149916466673,-0.5402852202793413,-1.3909496923938773,-1.3869780486449599,0.03869847273351135,-0.17013149727594815,0.013801135596838784,0.4107804752906269,-0.5392433051184518,-0.20584640639947646,0.013722076998055477,-0.6872556055830032,0.14392948115889234
13,1.3,-1.3656349553881846,-0.5837333686705928,-1.3992785880851986,-1.3882773622870446,0.03800590898467271,-0.16760232998921937,0.011271968310109999,0.4082513080038981,-0.536714137831723,-0.20837557368620524,0.01625124428478426,-0.6847264382962744,0.14140031387216356
14,1.3,-1.3784998435305647,-0.5448396661015074,-1.4126663495866385,-1.3883867088705302,0.037803485981399376,-0.16482874721279028,0.014045551086539088,0.41102489078032717,-0.5394877206081521,-0.21114915646263432,0.019024827061213348,-0.6875000210727036,0.14417389664859265
15,1.3,-1.3664605846118647,-0.6338540796484502,-1.4005072655231543,-1.3889780243858698,0.0371102295317991,-0.15952637776837064,0.01934792053095872,0.4163272602247468,-0.5341853511637324,-0.21645152590705397,0.024327196505632982,-0.6928023905171232,0.1494762660930123
16,1.3,-1.3572734725203432,-0.6227890407811552,-1.3911240759219852,-1.3893462514504789,0.03642002727931115,-0.16254974977408398,0.016324548525245387,0.41330388821903347,-0.5372087231694458,-0.2194748979127673,0.027350568511346315,-0.6958257625228366,0.14645289408729895
17,1.3,-1.3529107420372828,-0.6294320293987608,-1.3861840061049628,-1.3902052452787759,0.034861570067236336,-0.1564057399939112,0.022468558305418176,0.4071598784388607,-0.531064713389273,-0.21333088813259451,0.021206558731173525,-0.7019697723030094,0.15259690386747174
18,1.3,-1.3556678825863777,-0.666510161572301,-1.38874506914441,-1.3899333272129297,0.0342914644328387,-0.15896081164759993,0.019913486651729432,0.40460480678517197,-0.5336197850429617,-0.21077581647890578,0.02376163038486227,-0.7045248439566981,0.150041832213783
19,1.3,-1.3487230644972734,-0.6557492497907753,-1.3818111442502863,-1.3901076849550007,0.033844918627701226,-0.16114949475057905,0.022102169754708547,0.40241612368219287,-0.5358084681459409,-0.2129644995818849,0.021572947281883154,-0.702336160853719,0.15223051531676213
20,1.3,-1.3563710983763606,-0.620631536468045,-1.3895136441042752,-1.3900657100602984,0.033535831383887604,-0.16165808918510438,0.022610764189233877,0.40190752924766754,-0.5352998737114155,-0.21245590514735957,0.022081541716408484,-0.7028447552882443,0.15273910975128746
21,1.3,-1.3669147879130885,-0.6733075449044124,-1.4009614688243779,-1.3890936933457851,0.0340922396836183,-0.16393269478703168,0.020336158587306575,0.40418213484959487,-0.5375744793133428,-0.21018129954543227,0.024356147318335786,-0.7051193608901716,0.15046450414936016
22,1.3,-1.3292534495963033,-0.6894210434845953,-1.3619384811350408,-1.3877881266176701,0.03921129337706852,-0.15590294127611043,0.012306405076385333,0.4122118883605161,-0.5456042328242641,-0.20215154603451102,0.016326393807414546,-0.6970896073792503,0.1424347506384389
23,1.3,-1.3443531443750714,-0.6840557617986796,-1.3784107184813412,-1.387593291513622,0.039017136015950804,-0.15711496741039402,0.013518431210668914,0.41342391449479965,-0.5443922066899805,-0.2033635721687946,0.01753841994169813,-0.6983016335135339,0.1436467767727225
24,1.3,-1.3422338894980146,-0.7072146405335575,-1.3755398331506357,-1.3872550770640373,0.03888893324586551,-0.15790250800016847,0.014305971800443379,0.41421145508457413,-0.543604666100206,-0.20257603157902015,0.018325960531472594,-0.6990891741033084,0.14443431736249696
25,1.3,-1.3613522017903528,-0.6995873983913274,-1.3955078146514464,-1.3876070557162166,0.03835743837729311,-0.16012719682366397,0.01653066062393889,0.4119867662610786,-0.5458293549237014,-0.20480072040251565,0.020550649354968104,-0.7013138629268039,0.14220962853900146
26,1.3,-1.355078396141534,-0.6980525999508242,-1.3893102613674906,-1.387394961901009,0.037920962104331046,-0.16165194881558223,0.01805541261585716,0.41046201426916035,-0.5443046029317832,-0.2032759684105974,0.019025897363049833,-0.7028386149187221,0.14373438053091972
27,1.3,-1.343570711136023,-0.6990045934403668,-1.3773886349527236,-1.3865365058183667,0.04064559427721193,-0.16630294450681038,0.013404416924629023,0.41511300996038847,-0.539653607240555,-0.20792696410182554,0.014374901671821696,-0.7074896106099503,0.13908338483969157
28,1.3,-1.3446862798285706,-0.6527272929278398,-1.3784061648904475,-1.386655454337597,0.04021397519990444,-0.16778950281596283,0.014890975233781488,0.413626451651236,-0.5381670489314025,-0.209413522410978,0.012888343362669231,-0.7089761689191028,0.14056994314884402
29,1.3,-1.3408135159261323,-0.6787837923132896,-1.3746532261327937,-1.3854441337287424,0.04327795659642697,-0.17271558817618987,0.009964889873554449,0.41855253701146306,-0.5332409635711755,-0.21433960777120503,0.007962258002442192,-0.7139022542793299,0.13564385778861698
30,1.3,-1.3595765586316584,-0.6282402514640641,-1.3930459002089859,-1.385527376458049,0.042977129681603055,-0.1696329994088795,0.01304747864086482,0.42163512577877343,-0.5363235523384858,-0.2174221965385154,0.011044846769752564,-0.7169848430466402,0.13872644655592736
31,1.3,-1.363024020837905,-0.6337528118826801,-1.394706878438444,-1.385365241020918,0.04355616321936395,-0.16784190425806844,0.01125638349005376,0.4234262209295845,-0.5381146474892969,-0.21921329168932646,0.009253751618941503,-0.7187759381974513,0.1405175417067384
32,1.3,-1.370847162320839,-0.6382361719559655,-1.4041422127784795,-1.386255893856287,0.04294846716206302,-0.16521273749542495,0.013885550252697264,0.42079705416694096,-0.5407438142519404,-0.22184245845196995,0.011882918381585008,-0.7214051049600948,0.13788837494409492
33,1.3,-1.3632727204808326,-0.632381231983276,-1.39595775201957,-1.3870314445346594,0.04186449802433345,-0.16055307037442032,0.018545217373701902,0.41613738704593634,-0.545403481372945,-0.21718279133096532,0.016542585502589646,-0.7260647720810994,0.1332287078230903
34,1.3,-1.3603013677619744,-0.6088747701529265,-1.3913524200536496,-1.38760380782187,0.04209981863464751,-0.15861184614016083,0.01660399313944242,0.41419616281167687,-0.5434622571386856,-0.21912401556522482,0.014601361268330166,-0.7280059963153589,0.1312874835888308
35,1.3,-1.3666767285174117,-0.5970931605349237,-1.3990894301816388,-1.3874543387442828,0.04193997397204918,-0.1595246079128398,0.017516754912121374,0.41510892458435583,-0.5425494953660066,-0.22003677733790378,0.015514123041009117,-0.7289187580880379,0.13220024536150976
36,1.3,-1.3890813222851226,-0.596639182848858,-1.4213088396346827,-1.3880159087479114,0.041514875939002716,-0.15765596968323825,0.019385393141722915,0.4132402863547543,-0.5444181335956082,-0.22190541556750532,0.01738276127061066,-0.7307873963176394,0.13033160713190822
37,1.3,-1.374596792895269,-0.6042372771278612,-1.4065519803703186,-1.38819737136364,0.042024840420636034,-0.1555493293989333,0.02149203342602788,0.41534692663905926,-0.5423114933113032,-0.22401205585181028,0.019489401554915624,-0.7328940366019444,0.12822496684760326
38,1.3,-1.346089995813681,-0.5542773921558402,-1.3777837466092007,-1.386853339523077,0.04475405075472261,-0.15984392531879252,0.01719743750616866,0.41964152255891846,-0.538016897391444,-0.21971745993195105,0.015194805635056404,-0.7285994406820852,0.12393037092774405
39,1.3,-1.3666673943142817,-0.6200565844250756,-1.397413437146505,-1.3878467272967099,0.04347704627891691,-0.15401881597597022,0.011372328163346362,0.41381641321609614,-0.5438420067342663,-0.22554256927477334,0.009369696292234107,-0.7344245500249075,0.12975548027056635
40,1.3,-1.3901558151341182,-0.5334250085722794,-1.4224704780435216,-1.3878130055963993,0.043423018811445724,-0.15431055637575025,0.011664068563126384,0.41410815361587616,-0.5435502663344863,-0.22525082887499331,0.009661436692014129,-0.7341328096251275,0.13004722067034638
41,1.3,-1.3661926455318103,-0.52766079167551,-1.3972436978234852,-1.3876946732401847,0.043695074374770826,-0.15346577529396271,0.012508849644913929,0.4149529346976637,-0.5443950474162739,-0.22609560995678085,0.008816655610226584,-0.734977590706915,0.13089200175213392
