Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,0.7,-1.0812113373211594,0.17792888548804187,-1.1298103540272428,-1.0945840240630789,0.0005570624697628958,-0.07866913825646929,-0.004079050872309909,0.1095958695041777,-0.1071149051067765,-0.0517489390486693,0.019093900346341293,-0.1884443639828662,0.058426686544511997
2,0.7,-1.0709550335153752,0.15256597372209524,-1.1187453741704696,-1.096074528392637,0.0007068996754559832,-0.07441583091534949,0.00017425646880989392,0.1138491768452975,-0.1113682124478963,-0.0560022463897891,0.023347207687461097,-0.19269767132398602,0.05417337920339219
3,0.7,-1.0624112200489273,0.1453794684456846,-1.1118309825978057,-1.0940091177821158,0.00045535328737442496,-0.08183831244508287,-0.007248225060923479,0.10642669531556412,-0.10394573091816292,-0.06342472791952247,0.03076968921719447,-0.18527518979425264,0.04675089767365882
4,0.7,-1.0663174398322295,0.14403450241513283,-1.1154354575859626,-1.0921488333464366,0.0010677268286080205,-0.08745564030125622,-0.001630897204750137,0.11204402317173746,-0.09832840306198957,-0.05780740006334913,0.025152361361021128,-0.1796578619380793,0.041133569817485484
5,0.7,-1.0455835330821703,0.1377347639069637,-1.0943273872899235,-1.092128500304534,0.0010706746761046798,-0.08738993217753084,-0.001696605328475515,0.11210973129546284,-0.0982626949382642,-0.05787310818707451,0.025218069484746506,-0.17959215381435392,0.04106786169376011
6,0.7,-1.0514231062330763,0.12021871669170658,-1.100323867734305,-1.093507420341484,0.0015929796625526738,-0.08394624709036994,-0.005140290415636424,0.11555341638262374,-0.1017063800254251,-0.06131679327423542,0.021774384397585597,-0.18303583890151484,0.0376241766065992
7,0.7,-1.0447331839278178,0.1371430538060847,-1.0933684100093188,-1.096797512599733,0.0021934880594137868,-0.07428207768398318,-0.014804459822023185,0.12521758578901052,-0.11137054943181186,-0.07098096268062218,0.012110214991198838,-0.1927000083079016,0.047288346012985955
8,0.7,-1.075667050991847,0.12401754114646857,-1.1242057187389012,-1.0990028350439387,0.0017313733984353347,-0.08213529253893358,-0.0069512449670727835,0.13307080064396093,-0.11922376428676226,-0.07883417753557258,0.01996342984614924,-0.200553223162852,0.055141560867936354
9,0.7,-1.0736239903210818,0.10168106413835565,-1.1227057986993976,-1.0997002031013836,0.0018962806013542721,-0.08501723385146069,-0.004069303654545665,0.13595274195648804,-0.11634182297423515,-0.07595223622304546,0.022845371158676357,-0.20343516447537913,0.05225961955540923
10,0.7,-1.0595096033115823,0.12366263623555906,-1.1082534575193355,-1.1018292755412404,0.0014799698513502518,-0.07703164128349793,0.0039162889134170915,0.1439383345244508,-0.12432741554219791,-0.08393782879100822,0.030830963726639113,-0.21142075704334187,0.060245212123371986
11,0.7,-1.0779297491967865,0.11853946851710395,-1.1271926044521894,-1.103686615137849,0.002520057993644409,-0.07134533278787032,-0.0017700195822105136,0.14962464302007839,-0.13001372403782552,-0.08962413728663583,0.025144655231011507,-0.21710706553896947,0.05455890362774438
12,0.7,-1.0673642785697177,0.08640330825084042,-1.11542015464454,-1.1050783532438797,0.0012373576328150865,-0.07882673031232018,0.005711377942239345,0.14214324549562854,-0.13749512156227536,-0.08214273976218597,0.03262605275546136,-0.2245884630634193,0.06204030115219424
