Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,0.7,-1.0640980352286826,-0.015283646843087473,-1.109068666766203,-1.0968927703157534,0.0007230888466598501,-0.07351891958907503,-0.00922926953970418,0.10444565083678342,-0.10196468643938222,-0.056899157716063575,0.013943681678947021,-0.19359458265026047,0.05327646787711772
2,0.7,-1.0586172249196921,-0.01696758534911269,-1.104195496906642,-1.0958519528852777,0.0006101254697417659,-0.07662305705479751,-0.012333407005426657,0.10134151337106094,-0.09886054897365974,-0.0537950202503411,0.010839544213224545,-0.190490445184538,0.056380605342840194
3,0.7,-1.073655188042404,-0.00755423830119617,-1.1197363348840539,-1.0935719774803145,0.0003737467873295014,-0.08420096403012504,-0.019911313980754197,0.0937636063957334,-0.0912826419983322,-0.061372927225668644,0.018417451188552085,-0.18291253820921047,0.04880269836751265
4,0.7,-1.0570146471243878,-0.014459057249557983,-1.1026976847060668,-1.0912662942369933,0.0010979968981634919,-0.09092736650985779,-0.013184911501021456,0.10049000887546615,-0.08455623951859946,-0.054646524745935905,0.011691048708819344,-0.17618613572947772,0.04207629588777991
5,0.7,-1.0545789071550045,-0.02504285683666585,-1.1004505228071961,-1.0905834332865196,0.0011949922515147038,-0.08886327176176968,-0.015249006249109562,0.10255410362355426,-0.08249214477051135,-0.05671061949402401,0.01375514345690745,-0.17412204098138961,0.040012201139691804
6,0.7,-1.045350592347949,-0.01890991743122661,-1.0901535989339024,-1.093169744493207,0.0025753789683196637,-0.08117885773636883,-0.02293342027451041,0.1102385176489551,-0.0901765587959122,-0.06439503351942485,0.006070729431506602,-0.18180645500679046,0.032327787114290955
7,0.7,-1.0430660065396529,-0.027301101541461925,-1.088350934861361,-1.0960088219319004,0.0032822331938933136,-0.07201686021936608,-0.03209541779151316,0.11940051516595786,-0.09933855631291495,-0.0735570310364276,-0.003091268085496153,-0.19096845252379321,0.041489784631293714
8,0.7,-1.065356278258393,-0.032337688935702324,-1.1108507377695596,-1.0989847820659633,0.002580383706600964,-0.0814725276378726,-0.02263975037300664,0.12885618258446438,-0.10879422373142147,-0.08301269845493413,0.006364399333010369,-0.20042411994229975,0.050945452049800236
9,0.7,-1.0603586231401836,-0.040031752001583376,-1.105329254677704,-1.0995336314139421,0.0027138299971703056,-0.08336912991207752,-0.020743148098801727,0.13075278485866929,-0.10689762145721655,-0.08111609618072921,0.008261001607215282,-0.20232072221650466,0.04904884977559532
10,0.7,-1.0641199230741845,-0.024672426803340475,-1.1088495937438276,-1.1022130466299132,0.0021293613285403717,-0.07439515088821942,-0.011769169074943618,0.1397267638825274,-0.11587160048107466,-0.09009007520458731,0.017234980631073392,-0.21129470124036276,0.05802282879945343
11,0.7,-1.0737089252020364,-0.027464064852297243,-1.118930994166907,-1.103951250622049,0.003817761568131184,-0.06691212692173333,-0.019252193041429715,0.14720978784901348,-0.12335462444756075,-0.0975730991710734,0.009751956664587298,-0.21877772520684885,0.05053980483296734
12,0.7,-1.0759959072398997,-0.005872009191598027,-1.1214694136321204,-1.1056095891515725,0.002518194594175807,-0.07252554324364585,-0.013638776719517201,0.14159637152710097,-0.12896804076947327,-0.0919596828491609,0.015365372986499811,-0.22439114152876136,0.056153221154879855
13,0.7,-1.0779728000558666,-0.010647179268724383,-1.123341540853358,-1.1034099595970472,0.0019432448043910228,-0.06389951233179218,-0.02226480763137087,0.13297034061524732,-0.1203420098576196,-0.10058571376101456,0.02399140389835348,-0.21576511061690767,0.047527190243026186
14,0.7,-1.0753348525428787,-0.01061622727717415,-1.1205778746266952,-1.1052589201834053,0.00159381656792551,-0.057397776201921616,-0.015763071501500307,0.13947207674511788,-0.12684374598749015,-0.10708744989088513,0.030493140028224043,-0.22226684674677824,0.05402892637289675
