Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,Params
1,0.4,-0.8745963962087283,0.058371254474649525,-0.9509100901097721,-0.9972994262786393,1.8861088876200244e-05,"[-0.00614092  0.00614092  0.00614092 -0.00614092  0.00614092  0.00614092 0.00614092  0.00614092]"
2,0.4,-0.8664722424747422,0.06133780144560541,-0.9420770560465873,-0.9989160594854425,2.648266863722925e-06,"[-0.00229684  0.00998501  0.00998501 -0.00998501  0.00229684  0.0099850 0.00229684  0.00229684]"
3,0.4,-0.8745963962087282,0.06570724111722814,-0.950910090109772,-0.9916199771658284,0.00020691686073220916,"[-0.02033481 -0.00805296 -0.00805296  0.00805296 -0.01574113  0.02802297 0.02033481 -0.01574113]"
4,0.4,-0.8665139048015833,0.050454644094195755,-0.9421223536571679,-0.9939269967717337,0.0006405824489302964,"[-0.01518573 -0.01320203 -0.01320203  0.00290389 -0.0208902   0.03317205
  0.01518573 -0.01059205]"
5,0.4,-0.8630142693469429,0.04747665739271989,-0.9383173543684111,-0.9953259558042192,0.0007686698374895912,"[-0.01860658 -0.00978118 -0.01662289 -0.00051697 -0.01746935  0.0297512
  0.01176488 -0.0071712 ]"
6,0.4,-0.862056035829601,0.03881121061919557,-0.9372755093250612,-0.996415105982669,0.000502997904642935,"[-0.0161081  -0.01227967 -0.0141244  -0.00301545 -0.01996783  0.02725271
  0.0092664  -0.00966968]"
7,0.4,-0.8924695344234976,0.07089568488670772,-0.9703427650487786,-1.0009130472021068,0.00020583520781492035,"[-0.00467934 -0.02370842 -0.00269565 -0.0144442  -0.03139659  0.01582396
 -0.00216236  0.00175907]"
8,0.4,-0.8996354546401415,0.05662500201381082,-0.978133954068613,-1.0055048308287953,0.0005096329092504348,"[-0.01631271 -0.01207505  0.00893772 -0.02607757 -0.04302996  0.02745733
 -0.01379573  0.01339244]"
9,0.4,-0.9115925424434954,0.03065173010436051,-0.9911343683051979,-1.005902805324513,0.00047523935992500876,"[-0.01740839 -0.01097938  0.0100334  -0.02498189 -0.04193428  0.028553
 -0.0148914   0.01229676]"
10,0.4,-0.9095927507551297,0.053436621508668125,-0.9889600829973371,-1.0095257770630268,0.000843118306690871,"[-0.00718917 -0.00076015  0.02025262 -0.03520112 -0.05215351  0.03877223
 -0.02511063  0.02251599]"
11,0.4,-0.9215915008853245,0.05922369103655112,-1.0020057948445023,-1.0110101525449864,0.0004171175969125418,"[-0.00312222 -0.00482709  0.02431957 -0.03926806 -0.05622045  0.03470529
 -0.02917757  0.01844905]"
12,0.4,-0.932881991459223,0.04201369289556145,-1.0142814473118,-1.012695162160526,0.0010253430723966006,"[-0.00859399  0.00064468  0.0188478  -0.04473983 -0.05074868  0.04017706
 -0.03464934  0.02392081]"
13,0.4,-0.9248828247057599,0.05899670600446072,-1.0055843060803566,-1.00918634943755,0.0016135073105565945,"[ 0.0029108  -0.01086012  0.007343   -0.03323504 -0.06225347  0.05168185
 -0.02314455  0.01241602]"
14,0.4,-0.9227163837100302,0.05261961633070866,-1.003228830330174,-1.0119053790374892,0.0021059081437360683,"[ 0.01099127 -0.00277965  0.01542347 -0.0413155  -0.07033394  0.05976231
 -0.03122501  0.02049648]"
15,0.4,-0.94367253411103,0.046533412024660326,-1.0260135284521326,-1.0140237258252454,0.0025692248556916653,"[ 0.01777574  0.00400482  0.02220794 -0.03453103 -0.07711841  0.06654679
 -0.03800948  0.02728096]"
16,0.4,-0.9367982501822727,0.06037453503817791,-1.0185394227063609,-1.009548687376082,0.0018086611794665558,"[ 0.02926889  0.01549797  0.03370109 -0.02303788 -0.06562526  0.05505364
 -0.02651633  0.03877411]"
17,0.4,-0.9475887928340798,0.07006967414105003,-1.0302715038466934,-1.0088238893520611,0.0016721112841301539,"[ 0.02694421  0.01317329  0.03602577 -0.02536256 -0.06794994  0.05737831
 -0.02419165  0.03644943]"
18,0.4,-0.9586709717737737,0.044372291961317645,-1.042320668261089,-1.0107367974400403,0.0020510937346656655,"[ 0.02072666  0.00695573  0.02980821 -0.03158011 -0.06173238  0.06359587
 -0.03040921  0.03023187]"
19,0.4,-0.9580043745443183,0.03526493244490414,-1.0415959064918021,-1.0108526841031562,0.002023953564088077,"[ 0.02115133  0.00653106  0.03023289 -0.03115544 -0.06130771  0.06402054
 -0.03083388  0.0298072 ]"
20,0.4,-0.962045620247891,0.07715819864329898,-1.0459897747181044,-1.011477563844528,0.002689361942255497,"[ 0.01790745  0.00977494  0.026989   -0.02791155 -0.05806382  0.06726443
 -0.03407777  0.03305108]"
21,0.4,-0.9618789709405271,0.05379548379163368,-1.0458085842757825,-1.0119495532322618,0.0025537332236372917,"[ 0.01603161  0.0078991   0.02886484 -0.02978739 -0.05618798  0.06914027
 -0.03595361  0.03117524]"
22,0.4,-0.9641703989167796,0.06424036955425283,-1.0482999528577064,-1.0120537509857968,0.0026295435783652565,"[ 0.01568031  0.0082504   0.02851354 -0.02943609 -0.05653927  0.06949156
 -0.03630491  0.03152654]"
23,0.4,-0.969211540464535,0.08413347033519014,-1.053780963737939,-1.013354127214552,0.0029986977587350694,"[ 0.01075182  0.01317889  0.03344203 -0.02450761 -0.06146776  0.07442005
 -0.04123339  0.03645503]"
24,0.4,-0.9744609936464952,0.0742859891601908,-1.0594884626710737,-1.0133038147519984,0.002963990546715492,"[ 0.01120287  0.01272784  0.03299098 -0.02495866 -0.06191881  0.073969
 -0.04078234  0.03600398]"
25,0.4,-0.9753775648369961,0.07024537316903512,-1.0604850101038432,-1.0089602721887785,0.0022131692740497005,"[ 0.02164967  0.00228104  0.04343778 -0.01451186 -0.05147202  0.06352221
 -0.03033555  0.04645077]"
26,0.4,-0.967503385064056,0.03740828223778325,-1.0519237617041413,-1.0083613754944964,0.0020757705003145027,"[ 0.02375338  0.00017733  0.04554148 -0.01661557 -0.05357573  0.06562591
 -0.02823184  0.04434706]"
27,0.4,-0.9637121133215292,0.07174537001088943,-1.0478016791413218,-1.009761272068954,0.0016066040691990052,"[ 0.02117004 -0.002406    0.04812482 -0.01403223 -0.05615906  0.06304257
 -0.03081518  0.04176373]"
28,0.4,-0.9701697739818769,0.08981038278614095,-1.054822808781289,-1.01038512153209,0.0016901810855538546,"[ 0.0197117  -0.00094766  0.04666648 -0.01257389 -0.05761741  0.06158423
 -0.03227352  0.04322207]"
