g,Energy,Trace
0.1,-1.0024993448358148,4.060324952469764e-08
0.179,-1.008008880769019,1.6580478358206894e-06
0.2,-1.0099984152344406,1.2278736075262923e-06
0.258,-1.01663843634387,5.327499723806977e-07
0.3368421053,-1.0283620647924452,1.7496294593538078e-07
0.4,-1.0399951983796198,5.871254650062585e-08
0.4157894737,-1.0432152875186602,2.3903206829386583e-08
0.4947368421,-1.0611851656294011,3.761848495388784e-08
0.5736842105,-1.082271019412671,5.1127891339852576e-08
0.6,-1.089992604579311,4.354689658251277e-08
0.6526315789,-1.1064747459645872,4.906770326374439e-08
0.7315789474,-1.133793677439155,7.928693369275962e-08
0.8,-1.1599911660654472,4.880054269916145e-08
0.8105263158,-1.164231526689262,1.1907702220918985e-08
0.8894736842,-1.1977837707825068,1.2969744806716152e-08
0.9684210526,-1.234451928072467,9.238544978712591e-09
1,-1.24999222997576,1.0235935825207385e-08
1.047368421,-1.2742372937028883,8.876943340565676e-09
1.126315789,-1.3171387741370197,1.6489927846727338e-08
1.2,-1.3599918777123094,5.291430144396814e-08
1.205263158,-1.3631577405732738,2.4312299718111104e-08
1.284210526,-1.4122917931654981,1.3213871005089143e-08
1.363157895,-1.464541753286389,1.8660325219609065e-08
1.4,-1.4899921651929617,4.709755508052135e-08
1.442105263,-1.5199091919000596,9.46936817060337e-08
1.521052632,-1.5783922861541486,6.675497264880571e-08
1.6,-1.6399921238422395,1.2231802898531218e-07
