Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,0.2,-0.8733653484502903,0.0014401534347290301,-0.9605071960672571,-0.9986153157527958,1.7316081667546066e-05,-0.005884104094813526,0.005884104094813526,0.005884104094813526,-0.005884104094813526,0.005884104094813526,0.005884104094813526,0.005884104094813526,0.005884104094813526
2,0.2,-0.8781324460749568,0.024068094680431695,-0.965968976650652,-0.9987590628107266,1.3782324179269093e-05,-0.0052491554555260354,0.006519052734101017,0.006519052734101017,-0.006519052734101017,0.0052491554555260354,0.006519052734101017,0.0052491554555260354,0.0052491554555260354
3,0.2,-0.8687875957270788,0.02474908140798271,-0.9558477159371362,-0.9948327823415639,0.00027589656455274947,-0.023484926444950996,-0.011716718255323944,-0.011716718255323944,0.011716718255323944,-0.012986615533898925,0.024754823723525977,0.023484926444950996,-0.012986615533898925
4,0.2,-0.8762163461736918,0.03937576027950995,-0.9639098537872959,-0.9959406359641434,0.0006832666239745301,-0.01899325873263716,-0.016208385967637778,-0.016208385967637778,0.0072250505430101085,-0.01747828324621276,0.02924649143583981,0.01899325873263716,-0.00849494782158509
5,0.2,-0.8734435924013668,0.04481926932876856,-0.9609123496459705,-0.995764730542578,0.0006549487117046976,-0.018217906104567166,-0.016983738595707773,-0.015433033339567784,0.008000403171080103,-0.018253635874282755,0.030021844063909807,0.019768611360707157,-0.009270300449655084
6,0.2,-0.8959954713078176,0.025306621253335715,-0.9853235270596064,-0.9967612388456474,0.00026777326587376984,-0.013865460451734903,-0.021336184248540037,-0.011080587686735519,0.003647957518247838,-0.02260608152711502,0.025669398411077543,0.015416165707874893,-0.01362274610248735
7,0.2,-0.9009952761620528,0.045901566073099254,-0.9906706733932056,-0.9987585959112494,8.719340605465534e-05,-0.003926499435907484,-0.031275145264367456,-0.0011416266709080997,-0.006291003497579581,-0.03254504254294244,0.015730437395250124,0.005477204692047474,-0.003683785086659931
8,0.2,-0.9103312657783323,0.03898226688084194,-1.00080350522685,-1.0008914364119164,0.00026428324087780786,-0.013712570389357451,-0.02148907431091749,0.008644444282541868,-0.016077074451029547,-0.0423311134963924,0.02551650834870009,-0.004308866261402493,0.006102285866790036
9,0.2,-0.9132925497977157,0.05592388432285489,-1.0037034936910516,-1.0011825233562832,0.00023102573865964315,-0.015206171961590666,-0.019995472738684274,0.010138045854775082,-0.014583472878796333,-0.04083751192415919,0.027010109920933306,-0.005802467833635708,0.004608684294556822
10,0.2,-0.9158355142446907,0.059072488638206355,-1.0064507766552997,-1.0026878025966652,0.0004394982147860049,-0.00705905584274143,-0.011848356619835038,0.018285161973624318,-0.022730588997645566,-0.04898462804300842,0.03515722603978254,-0.013949583952484943,0.012755800413406057
11,0.2,-0.9171450133093342,0.0654085971118783,-1.0077194120164885,-1.0034153374133894,0.00010287806245839418,-0.0019504036677734718,-0.016957008794802997,0.023393814148592276,-0.027839241172613525,-0.05409328021797638,0.03004857386481458,-0.0190582361274529,0.007647148238438099
12,0.2,-0.9324502508797013,0.06638397002221885,-1.024168833283585,-1.0042603540390702,0.00040111723066119445,-0.0066146047885620495,-0.01229280767401442,0.0187296130278037,-0.0325034422934021,-0.0494290790971878,0.034712774985603156,-0.02372243724824148,0.012311349359226675
13,0.2,-0.93122028872968,0.08374439902692954,-1.0232044852060187,-1.0021172628674322,0.0008754858378177133,0.006859121414499799,-0.025766533877076267,0.005255886824741851,-0.01902971609034025,-0.06290280530024965,0.04818650118866501,-0.01024871104517963,-0.0011623768438351733
14,0.2,-0.9365534357481314,0.0841667501994785,-1.0286193596313793,-1.00333946746905,0.0011777532553281511,0.013544551986938973,-0.019081103304637092,0.011941317397181024,-0.025715146662779426,-0.06958823587268882,0.05487193176110418,-0.016934141617618803,0.005523053728604001
15,0.2,-0.9183689299811535,0.06426814470915021,-1.0089841923917626,-1.0041048563718504,0.0014133375368961115,0.018177256658816553,-0.014448398632759514,0.0165740220690586,-0.021082441990901847,-0.0742209405445664,0.059504636432981754,-0.02156684628949638,0.01015575840048158
16,0.2,-0.9433842167634165,0.0943675468249785,-1.0359813687915744,-1.0023062247088093,0.0009301933247138905,0.0281588969557497,-0.004466758335826366,0.026555662365991748,-0.011100801693968699,-0.06423930024763326,0.0495229961360486,-0.01158520599256323,0.020137398697414727
17,0.2,-0.9287879862370148,0.09190673412783879,-1.0205270004926257,-1.0016266229740722,0.0007645514736470821,0.024119435504855447,-0.008506219786720618,0.030595123816886,-0.015140263144862953,-0.06827876169852751,0.053562457586942856,-0.007545744541668978,0.016097937246520474
18,0.2,-0.923197862713786,0.08248757885225277,-1.014283057714123,-1.0024945631032096,0.0009741400043673659,0.019084201987359915,-0.01354145330421615,0.02555989029939047,-0.020175496662358485,-0.06324352818103197,0.05859769110443839,-0.01258097805916451,0.011062703729024941
19,0.2,-0.9294399936819512,0.08411183824084478,-1.0209338257168343,-1.0025416781600143,0.0009606580508906039,0.019390053052085174,-0.013847304368941408,0.02586574136411573,-0.019869645597633226,-0.06293767711630671,0.058903542169163645,-0.012886829123889767,0.010756852664299684
20,0.2,-0.9487675665860392,0.09138844102211485,-1.0418755149073797,-1.002760748745277,0.0011910700552143633,0.01773008705798789,-0.012187338374844125,0.024205775370018445,-0.018209679603535943,-0.06127771112220943,0.06056350816326093,-0.01454679511798705,0.012416818658396967
21,0.2,-0.9268857922460494,0.11203104802682118,-1.0182366013188415,-1.0028679612416453,0.00115497061016602,0.01698558227745209,-0.012931843155379924,0.024950280150554244,-0.018954184384071742,-0.06053320634167363,0.06130801294379672,-0.01529129989852285,0.011672313877861168
22,0.2,-0.9476209962166183,0.12026331669534618,-1.040218148244776,-1.002650592736063,0.0009733175618384417,0.01829922482940645,-0.014245485707334284,0.026263922702508602,-0.0202678269360261,-0.05921956378971927,0.05999437039184236,-0.01397765734656849,0.010358671325906808
23,0.2,-0.9483272513449278,0.11257700690298433,-1.0411287218903587,-1.0032589622423984,0.0011590807703032585,0.014269195331188443,-0.010215456209116278,0.030293952200726608,-0.016237797437808094,-0.06324959328793728,0.06402439989006037,-0.018007686844786496,0.014388700824124814
24,0.2,-0.9458193541660191,0.10731214862506966,-1.0387025521183595,-1.0030994524680863,0.0010864886549125097,0.01580813038864695,-0.011754391266574786,0.0287550171432681,-0.017776732495266602,-0.0647885283453958,0.06248546483260186,-0.016468751787327988,0.012849765766666306
25,0.2,-0.9448909604746941,0.12772489006725873,-1.0374063850959427,-1.001290231380017,0.0007151541967148657,0.024580806354212545,-0.02052706723214038,0.03752769310883369,-0.009004056529701009,-0.0560158523798302,0.05371278886703627,-0.007696075821762394,0.0216224417322319
26,0.2,-0.9395128851570775,0.14056904239081547,-1.0318444231127804,-1.0007299289329241,0.0005932602002983768,0.02796365019855577,-0.023909911076483603,0.04091053695317692,-0.012386900374044232,-0.059398696224173424,0.05709563271137949,-0.004313231977419171,0.018239597887888676
27,0.2,-0.9534638416956588,0.15949432248156858,-1.047021290755,-1.0014931428427645,0.0003058468540686511,0.024725872927032544,-0.027147688348006828,0.04414831422470014,-0.009149123102521008,-0.06263647349569665,0.053857855439856266,-0.0075510092489423945,0.01500182061636545
28,0.2,-0.9462760345690403,0.1973542680471807,-1.038852754745471,-1.0016543784189706,0.00032578199425032164,0.023931634001861615,-0.0263534494228359,0.04335407529952921,-0.008354884177350079,-0.06343071242086758,0.05306361651468534,-0.008345248174113324,0.01579605954153638
29,0.2,-0.9560508171365809,0.15361633977627953,-1.0494448113821038,-1.0022454770496552,0.0001336785525146442,0.02087368730628071,-0.029411396118416804,0.04641202199511012,-0.005296937481769176,-0.06648865911644848,0.05000566981910443,-0.011403194869694228,0.012738112845955475
30,0.2,-0.9516272983655563,0.1825975896354275,-1.0443266096523507,-1.0028777815231478,0.00020078851343621144,0.024554673217635246,-0.02573041020706227,0.050093007906464655,-0.008977923393123711,-0.07016964502780301,0.05368665573045897,-0.015084180781048765,0.01641909875731001
31,0.2,-0.9500192950784586,0.18363319133891687,-1.0430250841411628,-1.00346571675791,0.00013598030220500577,0.028116858848520172,-0.029292595837947195,0.053655193537349585,-0.012540109024008638,-0.07373183065868794,0.05012447009957404,-0.018646366411933693,0.019981284388194936
32,0.2,-0.9579686053162598,0.14013884733306137,-1.0516282136342376,-1.002143447961248,4.216565674042272e-05,0.020835220741052547,-0.03657423394541482,0.06093683164481721,-0.0052584709165410136,-0.06645019255122031,0.042842831992106416,-0.011364728304466068,0.02726292249566256
33,0.2,-0.954229097021997,0.16785678932437453,-1.0471122949743372,-1.0027948115016443,8.678586339372352e-05,0.02481715235379683,-0.032592302332670534,0.05695490003207292,-0.009240402529285298,-0.062468260938476024,0.0468247636048507,-0.015346659917210351,0.023280990882918278
34,0.2,-0.9500291561095575,0.15629507864073,-1.0431575362826253,-1.0023211856969738,0.0001167703374500154,0.022712988851682162,-0.030488138830555865,0.05905906353418759,-0.011344566031399966,-0.060364097436361355,0.04892892710696537,-0.013242496415095683,0.025385154385032947
