Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,0.4,-0.943651172278817,-0.5534636494378058,-0.9886714982550407,-0.9956550276188835,4.445864108637912e-05,-0.009426280992124197,0.009426280992124197,0.009426280992124197,-0.009426280992124197,0.009426280992124197,0.009426280992124197,0.009426280992124197,0.009426280992124197
2,0.4,-0.9487512122339787,-0.5596464542156401,-0.9940482215129537,-0.9945577362172173,7.094493048587225e-05,-0.011910413425437059,0.006942148558811337,0.006942148558811337,-0.006942148558811337,0.011910413425437059,0.006942148558811337,0.011910413425437059,0.011910413425437059
3,0.4,-0.9442628395727313,-0.5880333893840737,-0.9895894934912867,-0.9891332858148871,0.00031488354864350754,-0.0250972465662258,-0.006244684581977405,-0.006244684581977405,0.006244684581977405,-0.0012764197153516833,0.02012898169960008,0.0250972465662258,-0.0012764197153516833
4,0.4,-0.9396265378913975,-0.5658843395546136,-0.9849037840773188,-0.9895614756840586,0.0003938771629202892,-0.024106453164941043,-0.00723547798326216,-0.00723547798326216,0.00525389118069265,-0.002267213116636438,0.021119775100884836,0.024106453164941043,-0.00028562631406692826
5,0.4,-0.9451390054662808,-0.5648570807392792,-0.9905447117570508,-0.9873502986322819,0.0002638029056963344,-0.019005814604351367,-0.012336116543851836,-0.0021348394226724824,0.010354529741282328,-0.007367851677226115,0.026220413661474512,0.02920709172553072,-0.005386264874656606
6,0.4,-0.9469650512746187,-0.5955820493761499,-0.9923707575653887,-0.9879726011277854,0.000186489099699331,-0.017786596703937115,-0.01355533444426609,-0.0009156215222582292,0.009135311840868075,-0.008587069577640369,0.02500119576106026,0.027987873825116468,-0.006605482775070859
7,0.4,-0.9450232708494136,-0.5593419868227498,-0.9904289771401836,-0.9925808658706841,4.193974543972943e-05,-0.007633122465331654,-0.02370880868287155,0.009237852716347231,-0.001018162397737386,-0.01874054381624583,0.0148477215224548,0.017834399586511007,0.0035479914635346017
8,0.4,-0.9454866927163307,-0.5759777144279712,-0.990704649623091,-0.9960464425588725,0.00015138801717010444,-0.015873019443382562,-0.015468911704820641,0.017477749694398137,-0.009258059375788294,-0.026980440794296737,0.023087618500505707,0.0095945026084601,0.01178788844158551
9,0.4,-0.942769117701086,-0.5808042421737698,-0.9879870746078463,-0.9965159227503136,0.00013139420855529452,-0.017062755159123696,-0.014279175989079507,0.01866748541013927,-0.00806832366004716,-0.025790705078555604,0.02427735421624684,0.008404766892718966,0.010598152725844375
10,0.4,-0.9550340866923297,-0.6080740393840944,-1.0003508590643582,-0.9993991339926594,0.0002786849092738554,-0.009668989376541821,-0.006885410206497632,0.026061251192721145,-0.015462089442629036,-0.03318447086113748,0.03167111999882872,0.0010110011101370905,0.01799191850842625
11,0.4,-0.9491943664804144,-0.5966766634915392,-0.994402441840648,-1.0005892497535,0.00012477278708297127,-0.007062766602178014,-0.00949163298086144,0.028667473967084953,-0.018068312216992843,-0.03579069363550129,0.02906489722446491,-0.0015952216642267174,0.015385695734062444
12,0.4,-0.9537875137746867,-0.5980475544915032,-0.9991536938793495,-1.0017035330166777,0.0003335265919679614,-0.010406970648387213,-0.006147428934652242,0.025323269920875753,-0.021412516263202043,-0.03244648958929209,0.03240910127067411,-0.004939425710435916,0.018729899780271644
13,0.4,-0.9395843678813937,-0.608166854362481,-0.9847035093228858,-0.9980473101381904,0.0006441242854234065,-0.0003410172625308242,-0.016213382320508632,0.015257316535019364,-0.011346562877345654,-0.04251244297514848,0.0424750546565305,0.0051265276754204735,0.008663946394415254
14,0.4,-0.9558175717281284,-0.6213148850184023,-1.0009861209022546,-1.0004911377749524,0.0008919467304220469,0.005999470226784567,-0.009872894831193241,0.021597804024334755,-0.017687050366661045,-0.04885293046446387,0.048815542145845894,-0.0012139598138949173,0.015004433883730645
15,0.4,-0.9380620375515237,-0.6276138765978148,-0.9829539034228988,-1.0027222834811256,0.0011687568441481333,0.012113606445918012,-0.003758758612059796,0.0277119402434682,-0.0115729141475276,-0.05496706668359732,0.05492967836497934,-0.007328096033028362,0.02111857010286409
16,0.4,-0.9287606587380953,-0.6359082817598565,-0.973504301411568,-0.9985821174830448,0.0007650367099500954,0.021334003655909352,0.005461638597931546,0.03693233745345954,-0.0023525169375362576,-0.04574666947360598,0.045709281154988,0.0018923011769629797,0.03033896731285543
17,0.4,-0.9258330334791911,-0.6150633402116237,-0.9705272684200296,-0.9975197521729114,0.0006578447318329218,0.01848808526261981,0.002615720204642003,0.039778255846749086,-0.0051984353308258,-0.04859258786689552,0.04855519954827754,0.004738219570252522,0.027493048919565888
18,0.4,-0.923533757189688,-0.6642584002109582,-0.9680995320256778,-0.9996070945631687,0.0008851397891600533,0.012686290839357609,-0.003186074218620197,0.033976461423486884,-0.011000229754088,-0.04279079344363332,0.054356993971539744,-0.001063574853009678,0.021691254496303686
19,0.4,-0.9285587823396427,-0.67137413295812,-0.9731937280013203,-0.9996713520516323,0.0008769316094136594,0.012881725881385817,-0.003381509260648405,0.03417189646551509,-0.010804794712059793,-0.04259535840160511,0.05455242901356795,-0.0012590098950378858,0.021495819454275478
20,0.4,-0.9344382204079997,-0.6415581850562666,-0.9794783094772772,-1.0000053818975516,0.0010502363883491683,0.011563663638082656,-0.002063447017345245,0.032853834222211935,-0.009486732468756632,-0.04127729615830195,0.05587049125687111,-0.0025770721383410458,0.02281388169757864
21,0.4,-0.921510572297485,-0.7066894440688749,-0.9661553995056894,-1.0004308805956499,0.0009897708743101946,0.01022405708783189,-0.003403053567596013,0.034193440772462703,-0.0108263390190074,-0.039937689608051184,0.05721009780712188,-0.003916678688591814,0.02147427514732787
22,0.4,-0.9376975192116123,-0.6858061468822618,-0.9825696219899337,-1.0006570842356952,0.0010753249211990085,0.009596075341102807,-0.0027750718208669296,0.03356545902573362,-0.010198357272278318,-0.040565671354780265,0.05783807955385096,-0.004544660435320897,0.022102256894056954
23,0.4,-0.9375935443849462,-0.675221926342706,-0.982732448919492,-1.0024223944340975,0.0013398221537591765,0.00420170468522625,0.0026192988350096265,0.03895982968161018,-0.004803986616401762,-0.04596004201065682,0.06323245020972751,-0.009939031091197453,0.02749662754993351
24,0.4,-0.9191111092751699,-0.6630815698989956,-0.9635681870993645,-1.0017232696491192,0.0011669098816666779,0.007662608313365488,-0.0008416047931296107,0.03549892605347094,-0.008264890244540999,-0.04942094563879606,0.05977154658158827,-0.006478127463058216,0.024035723921794275
25,0.4,-0.9110839274605516,-0.7275284436461953,-0.9550963356910389,-0.998147810180251,0.000822700986222738,0.015406011547713715,-0.00858500802747784,0.043242329287819174,-0.0005214870101927704,-0.04167754240444783,0.05202814334724004,0.0012652757712900125,0.031779127156142506
26,0.4,-0.9054944587481852,-0.6911563827926257,-0.9495266300717263,-0.997427585040947,0.0007442947974034865,0.01738898946038166,-0.010567985940145784,0.04522530720048712,-0.0025044649228607154,-0.04366052031711577,0.054011121259907986,0.0032482536839579575,0.02979614924347456
27,0.4,-0.9095334720719047,-0.6813898080411833,-0.9535952880350262,-0.9986902665989817,0.0005045736247476264,0.015117034786074384,-0.01283994061445306,0.047497261874794396,-0.00023251024855343956,-0.04593247499142305,0.05173916658560071,0.0009762990096506816,0.027524194569167285
28,0.4,-0.9062892201747375,-0.7250120773643975,-0.9504202069635468,-0.9998622283249574,0.0005869370971964827,0.01262124561347323,-0.010344151441851909,0.04500147270219324,0.0022632789240477134,-0.0484282641640242,0.049243377412999556,-0.0015194901629504713,0.03001998374176844
29,0.4,-0.9268798481668701,-0.6543746509984723,-0.9715049122820207,-1.000982644510009,0.00038356501576410074,0.010432444505266713,-0.012532952550058426,0.04719027381039976,0.004452080032254231,-0.05061706527223072,0.04705457630479304,-0.0037082912711569895,0.02783118263356192
30,0.4,-0.9125132429475976,-0.6990100756222943,-0.9567825713877826,-1.002827822231461,0.0005448489789647327,0.015746374925139642,-0.007219022130185497,0.05250420423027269,-0.0008618503876186975,-0.05593099569210365,0.05236850672466597,-0.009022221691029918,0.03314511305343485
31,0.4,-0.9194126890069866,-0.671505283329856,-0.963879648377708,-1.005522916710197,0.0003523291212094472,0.02221968384778558,-0.013692331052831434,0.058977513152918624,-0.007335159310264634,-0.062404304614749585,0.04589519780202003,-0.015495530613675854,0.039618421976080787
32,0.4,-0.9198018958750558,-0.7525169368443063,-0.9643182629784114,-1.0029355241705389,0.00020812813656890042,0.01608239498713588,-0.019829619913481134,0.06511480201356833,-0.0011978704496149349,-0.05626701575409988,0.03975790894137033,-0.009358241753026155,0.04575571083673049
33,0.4,-0.918237061550109,-0.7569102408677135,-0.9625854423625085,-1.004524113874072,0.00031797809143564726,0.02089322845278592,-0.015018786447831094,0.06030396854791829,-0.006008703915264976,-0.051456182288449843,0.04456874240702037,-0.014169075218676195,0.04094487737108045
34,0.4,-0.9196783213980546,-0.7511542684324355,-0.9639871760243469,-1.003767172877724,0.0003546943151636374,0.019479348149500156,-0.01360490614454533,0.06171784885120405,-0.0074225842185507394,-0.05004230198516408,0.045982622710306134,-0.012755194915390431,0.04235875767436621
35,0.4,-0.9125751971786347,-0.7339301553227902,-0.9565777238625953,-1.005237521591425,0.0004910128991218767,0.014769624197626475,-0.00889518219267165,0.06642757280307773,-0.002712860266677058,-0.05475202593703776,0.05069234666217982,-0.01746491886726411,0.047068481626239896
36,0.4,-0.9000969084056484,-0.7143220275052646,-0.9439709749847602,-1.0026657131280443,0.00032355373923973266,0.008862875353768111,-0.014801931036530012,0.0723343216469361,0.0031938885771813042,-0.0488452770931794,0.044785597818321456,-0.011558170023405749,0.05297523047009826
37,0.4,-0.9000874337764729,-0.7424248219276051,-0.9437144616924141,-1.0026930930396702,0.00032192626535157767,0.008927065834988849,-0.014737740555309275,0.07239851212815683,0.003258079058402042,-0.04890946757440014,0.04484978829954219,-0.011622360504626486,0.05291103998887752
38,0.4,-0.9074386913269527,-0.7393384189797574,-0.9513720471852255,-1.0031153712748166,0.00042882042732750314,0.010232132492332608,-0.013432673897965515,0.07109344547081307,0.0019530124010582821,-0.05021453423174389,0.046154854956885955,-0.012927427161970246,0.054216106646221285
39,0.4,-0.901360312413153,-0.7434413602056256,-0.9454122468297477,-1.0041082714292315,0.0004938727995738024,0.012379187009294614,-0.01557972841492752,0.06894639095385106,-0.00019404211590372256,-0.052361588748705896,0.04400780043992395,-0.015074481678932251,0.05636316116318329
40,0.4,-0.8986461739285276,-0.7719810000078207,-0.9424214250423713,-1.002390039374859,0.0005897618494221969,0.009467646624350328,-0.012668188029983235,0.07185793133879535,0.002717498269040563,-0.049450048363761615,0.04691934082486823,-0.012162941293987966,0.05927470154812757
41,0.4,-0.9021011264613386,-0.7609373703928128,-0.9461431793314065,-1.0050593393612872,0.00040285722306202323,0.015428556489884438,-0.006707278164449125,0.07781884120432947,-0.003243411596493547,-0.055410958229295725,0.04095843095933412,-0.018123851159522076,0.06523561141366169
42,0.4,-0.9022096716100559,-0.727699052248229,-0.9457378840607289,-1.0070254192780341,0.0001499321190247295,0.01173525198491287,-0.010400582669420693,0.08151214570930104,-0.006936716101465115,-0.05910426273426729,0.03726512645436256,-0.021817155664493645,0.06154230690869012
43,0.4,-0.9131366876098744,-0.7369461235273658,-0.9571194512007813,-1.0073093278539091,0.0001329941830796738,0.01072757482119069,-0.011408259833142873,0.08251982287302322,-0.005929038937742935,-0.05809658557054511,0.03827280361808474,-0.022824832828215826,0.06053462974496794
44,0.4,-0.8962749853793639,-0.7743947062221292,-0.939734027004349,-1.0085555893714628,0.00021253344481334327,0.015042651314877406,-0.01572333632682959,0.08683489936670993,-0.001613962444056219,-0.06241166206423183,0.042587880111771455,-0.027139909321902543,0.06484970623865466
45,0.4,-0.9038818997141262,-0.7718608983515463,-0.9474891645370138,-1.0094335954614508,9.666028316925035e-05,0.012802293649062761,-0.013482978661014944,0.08907525703252457,0.0006263952217584255,-0.06017130439841718,0.04034752244595681,-0.029380266987717188,0.06260934857284002
46,0.4,-0.8927471186316738,-0.7638026595626419,-0.9360184108726491,-1.0091633425965483,0.00010396353166884035,0.013316143179250717,-0.0139968281912029,0.08958910656271253,0.00011254569157046867,-0.05965745486822922,0.04086137197614477,-0.02886641745752923,0.06312319810302798
47,0.4,-0.8954233410214352,-0.7721579810600918,-0.9386254624367228,-1.007366715596254,0.00021068977860274566,0.007198948508127726,-0.020114022862325893,0.08347191189158953,0.0062297403626934604,-0.06577464953935222,0.04697856664726776,-0.022749222786406238,0.05700600343190499
48,0.4,-0.9234909367877001,-0.7559537657342958,-0.9679381330653679,-1.008580009939942,0.0003041862344925518,0.003053317273679048,-0.024259654096774573,0.08761754312603821,0.0020841091282447826,-0.0699202807738009,0.05112419788171644,-0.026894854020854918,0.06115163466635367
49,0.4,-0.9220089747062556,-0.8055704379378674,-0.9663771186117088,-1.0088468415829992,0.00042858926021108537,0.004591219342411686,-0.022721752028041935,0.08607964105730558,0.0005462070595121445,-0.06838237870506826,0.05266209995044908,-0.028432756089587556,0.0626895367350863
50,0.4,-0.901217287700191,-0.7817748159615547,-0.9448541971626591,-1.0076011404518794,0.0005668020018338021,0.00019628218814485374,-0.027116689182308768,0.08168470390303874,-0.0038487300947546883,-0.0727773158593351,0.05705703710471591,-0.024037818935320723,0.05829459958081947
51,0.4,-0.9085662600896453,-0.7899064059502374,-0.9523711558430693,-1.00884104299912,0.0003466584554963209,0.0026420730709277433,-0.029562480065091656,0.08413049478582163,-0.0014029392119717988,-0.07522310674211799,0.054611246221933016,-0.02648360981810361,0.05584880869803658
52,0.4,-0.8938276130772381,-0.7850722266454315,-0.9371384315043209,-1.0076115603906148,0.0004652645326321016,-0.0015295779507838217,-0.02539082904338009,0.07995884376411007,-0.005574590233683363,-0.07939475776382955,0.05878289724364458,-0.022311958796392046,0.05167715767632501
53,0.4,-0.9136383595567278,-0.7847110235208612,-0.9574728999497323,-1.0083975941965946,0.00029489208627732355,0.000543036460256044,-0.027463443454419957,0.08203145817514994,-0.0035019758226434976,-0.07732214335278968,0.05671028283260471,-0.02438457320743191,0.04960454326528514
54,0.4,-0.9084592002955942,-0.7861369160242342,-0.9521751621302769,-1.0093168246250115,0.00035132445235036905,0.0027626351038905483,-0.02968304209805446,0.07981185953151543,-0.005721574466278002,-0.07954174199642419,0.054490684188970205,-0.026604171851066415,0.051824141908919645
55,0.4,-0.9128398451926454,-0.7642081043732458,-0.956783082597445,-1.0111482274281116,0.00023528066854215744,-0.002047721437139545,-0.03449339863908455,0.08462221607254553,-0.0009112179252479093,-0.08435209853745429,0.049680327647940115,-0.031414528392096505,0.056634498449949736
56,0.4,-0.9222162563894419,-0.7733416807095024,-0.9662089015268757,-1.0118462157854082,0.00027611720219273064,-0.003854788156056077,-0.03268633192016802,0.08281514935362899,0.0008958487936686229,-0.08615916525637082,0.04787326092902358,-0.03322159511101304,0.05844156516886627
57,0.4,-0.9262273116469207,-0.7813825343730041,-0.9704669954475252,-1.0106773833684202,0.00020863855505545096,-0.00692851654031139,-0.029612603535912704,0.08588887773788431,-0.002177879590586691,-0.0830854368721155,0.04479953254476827,-0.030147866726757726,0.06151529355312158
58,0.4,-0.9151631420401601,-0.7714801091090031,-0.9591854318171744,-1.0095644080602142,0.0002597314226218707,-0.009292699827495483,-0.02724842024872861,0.0882530610250684,0.0001863036965974031,-0.08072125358493142,0.04716371583195236,-0.02778368343957363,0.06387947684030568
59,0.4,-0.924028072675855,-0.7657659269646824,-0.9682776380229863,-1.008990246526446,0.0002040100358130549,-0.006700034697229018,-0.024655755118462144,0.08566039589480193,0.0027789688268638683,-0.08331391871519789,0.0445710507016859,-0.025191018309307166,0.06128681171003921
60,0.4,-0.9157802146188081,-0.7552882134246401,-0.9599803722333052,-1.0098543264721227,0.00010130948452548305,-0.008690441068753585,-0.026646161489986712,0.08765080226632649,0.004769375198388435,-0.08530432508672245,0.04258064433016133,-0.027181424680831734,0.05929640533851464
61,0.4,-0.9194560103865841,-0.7458518792262827,-0.9637055757337154,-1.009537501664272,0.00011173582562671106,-0.007973757343084125,-0.027362845215656174,0.08836748599199595,0.004052691472718975,-0.08458764136105298,0.04329732805583079,-0.026464740955162273,0.0600130890641841
62,0.4,-0.9311607897305567,-0.7281061239881126,-0.9757166830200197,-1.0099130456991587,0.00016820141775979267,-0.00910553880872176,-0.028494626681293808,0.08723570452635832,0.0029209100070813412,-0.08571942282669062,0.04442910952146842,-0.027596522420799907,0.06114487052982173
