Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,1.0,-1.1438890505625383,-0.04449299428569198,-1.2011792154269285,-1.2108102305792272,0.055297054675978785,-0.21571427968099977,-0.04058222022191843,0.38342836652153417,-0.23362312890131798,-0.050099971329038526,-0.03814646654087253,-0.43378860848796674,0.07852094345259097
2,1.0,-1.167609239574809,-0.039366185513535434,-1.22531429138665,-1.212427903432399,0.05708104480072507,-0.2099479317136512,-0.03481587225456986,0.3891947144888827,-0.23938947686866655,-0.05586631929638709,-0.032380118573523964,-0.4395549564553153,0.07275459548524241
3,1.0,-1.1573176840326882,-0.037377086552016436,-1.2133345751617979,-1.21253134123981,0.05694314460243732,-0.2103254711024327,-0.03519341164335135,0.3888171751001012,-0.23901193747988506,-0.05624385868516858,-0.032002579184742475,-0.4391774170665338,0.07237705609646092
4,1.0,-1.17114763921186,-0.029019870676530335,-1.2285093363085693,-1.209139090962708,0.06626452113885595,-0.2201178393046453,-0.025401043441138735,0.39860954330231385,-0.22921956927767245,-0.046451490482955965,-0.04179494738695509,-0.42938504886432116,0.0625846878942483
5,1.0,-1.1682934161529537,-0.043954342967035265,-1.226384742019318,-1.2083302158862352,0.06475767604203853,-0.2247368874040661,-0.020781995341717915,0.39399049520289303,-0.23383861737709327,-0.041832442383535146,-0.04641399548637591,-0.434004096963742,0.06720373599366912
6,1.0,-1.1620850897687722,-0.06570854337886867,-1.2202050285280641,-1.2096795039251447,0.06848108973874023,-0.22115504697374347,-0.02436383577204057,0.3975723356332157,-0.2374204578074159,-0.0454142828138578,-0.04999583591669857,-0.43758593739406465,0.06362189556334646
7,1.0,-1.1312014245550133,-0.04981418832958995,-1.1891353795102757,-1.2103740684688091,0.07018650471761223,-0.21687799254861578,-0.02864089019716825,0.40184939005834336,-0.2416975122325436,-0.04969133723898548,-0.054272890341826245,-0.4418629918191923,0.06789894998847414
8,1.0,-1.1321170854256868,-0.05370687689724729,-1.1890209762355537,-1.209850002080202,0.06835877907150589,-0.22175333763791566,-0.02376554510786836,0.40672473514764323,-0.24657285732184347,-0.05456668232828537,-0.049397545252526355,-0.4467383369084922,0.07277429507777403
9,1.0,-1.1370752087956213,-0.06649009228735858,-1.1941507769630542,-1.20997323282063,0.06826622623578604,-0.22142749042268173,-0.024091392323102277,0.4063988879324093,-0.2468987045370774,-0.05489252954351929,-0.04972339246776027,-0.44641248969325825,0.07310014229300794
10,1.0,-1.1407834458491657,-0.051570190977932695,-1.196900482103522,-1.2103841579519212,0.06598368283954414,-0.2141324455200703,-0.016796347420490854,0.4136939328350207,-0.2541937494396888,-0.06218757444613071,-0.04242834756514885,-0.45370753459586965,0.08039518719561936
11,1.0,-1.1349963494565598,-0.04340416545875225,-1.191785788694716,-1.2116224286146462,0.06981627127098378,-0.2104686170196068,-0.020460175920954334,0.4173577613354842,-0.2578575779401523,-0.0658514029465942,-0.04609217606561233,-0.45737136309633314,0.07673135869515588
12,1.0,-1.1525868732800575,-0.05449703958943508,-1.2077310711748739,-1.2090982017107308,0.06219591025933369,-0.21791672759332306,-0.013012065347238078,0.40990965076176794,-0.26530568851386854,-0.05840329237287794,-0.03864406549189607,-0.4648194736700494,0.08417946926887214
13,1.0,-1.1793185968214368,-0.05444474872003324,-1.2369521164009587,-1.21272305957973,0.05994592319918812,-0.21114284678645365,-0.019785946154107486,0.4031357699548985,-0.25853180770699913,-0.06517717317974735,-0.03187018468502666,-0.45804559286318,0.07740558846200274
14,1.0,-1.1647203544814406,-0.0344993932369555,-1.2184339077298745,-1.2129000001586974,0.058696402864433006,-0.20681725208583443,-0.01546035145348828,0.40746136465551774,-0.26285740240761835,-0.06950276788036655,-0.02754458998440746,-0.4623711875637992,0.08173118316262194
15,1.0,-1.1583842459721057,-0.040236480650339024,-1.213356766509356,-1.2130657834932208,0.05738218662838879,-0.20235658525352632,-0.010999684621180162,0.41192203148782586,-0.25839673557531023,-0.07396343471267466,-0.02308392315209934,-0.4668318543961073,0.08619184999493006
16,1.0,-1.1735440263751218,-0.04525115630922061,-1.229675369075942,-1.2130324472673237,0.05741343123599396,-0.20226885875233305,-0.010911958119986903,0.4120097579890191,-0.25830900907411697,-0.0738757082114814,-0.023171649653292596,-0.46674412789491404,0.08627957649612332
17,1.0,-1.1617694948935635,-0.06007824559803576,-1.2177434666832818,-1.2128390786238015,0.05665297555093596,-0.19946258841982678,-0.008105687787480626,0.4092034876565128,-0.25550273874161067,-0.07106943787897513,-0.025977919985798875,-0.46955039822742034,0.08908584682862959
