Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,1.0,-1.1420803157594117,-0.08056979826652699,-1.2063375790591204,-1.2043082658201456,0.05319788631965494,-0.21062457181812672,0.0030562956108194095,0.4203654710548128,-0.2666647221399106,-0.05990745448067509,-0.01481593658749879,-0.4583884148291203,0.1002478302269295
2,1.0,-1.1540996041356106,-0.0573110155092289,-1.2179666905044673,-1.206043940037489,0.054988016395958406,-0.20473869060873504,0.008942176820211095,0.4262513522642045,-0.2725506033493023,-0.06579333569006678,-0.008930055378107104,-0.464274296038512,0.09436194901753782
3,1.0,-1.1871448934632394,-0.043420520335788915,-1.2492074115269052,-1.2062380514107645,0.05482417437430365,-0.20518651946228927,0.008494347966656844,0.42580352341065025,-0.27210277449574805,-0.06624116454362103,-0.008482226524552853,-0.46382646718495774,0.09391412016398357
4,1.0,-1.172046431811932,-0.07174549576015976,-1.2348242742488265,-1.2027430208399892,0.06478528457950361,-0.21606219406591914,0.019370022570286714,0.4366791980142801,-0.2612270998921182,-0.05536548993999116,-0.019357901128182725,-0.45295079258132787,0.0830384455603537
5,1.0,-1.1516108048907174,-0.050663561189779216,-1.2118037251607165,-1.2013996075838804,0.06328120537681148,-0.220877254176285,0.02418508268065258,0.43186413790391426,-0.26604216000248404,-0.05055042982962529,-0.02417296123854859,-0.45776585269169373,0.08785350567071956
6,1.0,-1.1573716850048044,-0.08321099624164585,-1.219417945696351,-1.2029366493225098,0.0666252422570901,-0.21757813789791913,0.020885966402286706,0.43516325418228013,-0.2693412762808499,-0.05384954610799117,-0.027472077516914464,-0.4610649689700596,0.08455438939235368
7,1.0,-1.1443251338999811,-0.04958637195238724,-1.2075419253840842,-1.2035594237968326,0.06823442908479027,-0.213537806483085,0.016845634987452597,0.43920358559711425,-0.27338160769568404,-0.057889877522825275,-0.03151240893174857,-0.4651053003848937,0.08859472080718779
8,1.0,-1.122632198303181,-0.0695015327342614,-1.186271681462374,-1.2030545743182302,0.06728579866905093,-0.21620479422169434,0.01951262272606192,0.4418705733357236,-0.2760485954342934,-0.0605568652614346,-0.02884542119313925,-0.4677722881235031,0.09126170854579711
9,1.0,-1.134418991322336,-0.08205560531024325,-1.197960930248816,-1.2034709956496954,0.06706266310994025,-0.21538814958866012,0.018695978093027713,0.4410539287026894,-0.2768652400673276,-0.061373509894468804,-0.029662065826173457,-0.46695564349046886,0.09207835317883131
10,1.0,-1.1413885229117158,-0.07895444044438804,-1.2052556092805724,-1.2033571721985936,0.06529088976913044,-0.2093656225190828,0.024718505162605035,0.44707645577226673,-0.28288776713690494,-0.06739603696404613,-0.023639538756596135,-0.4729781705600462,0.09810088024840863
11,1.0,-1.131176535075089,-0.0888768983214201,-1.1945721576524992,-1.2053783349692822,0.07034854962211146,-0.2044660465234688,0.019818929166991038,0.45197603176788076,-0.28778734313251897,-0.07229561295966012,-0.028539114752210132,-0.47787774655566023,0.09320130425279463
12,1.0,-1.139570795829224,-0.07976020990903465,-1.2023486382661184,-1.2020015474408865,0.06328252485559549,-0.2114820181719497,0.02683490081547194,0.44496006011939987,-0.29480331478099986,-0.06527964131117922,-0.02152314310372923,-0.4848937182041411,0.10021727590127553
13,1.0,-1.1773091879755415,-0.06930004330890016,-1.2399407140633665,-1.2068860530853271,0.060802088193378845,-0.20417920905477022,0.01953209169829247,0.4376572510022204,-0.2875005056638204,-0.07258245042835869,-0.014220333986549764,-0.47759090908696167,0.09291446678409607
