Iteration,g,Energy,Trace,RescaledEnergy,ExactEnergy,ExactTrace,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7
1,1.1,-1.2274169270443795,0.05834328202286487,-1.2820049410929175,-1.266251105768606,0.03756120173625277,-0.259176865009375,0.026418751498604703,0.40335086962852457,-0.37368944610261,-0.16069486202895542,0.027441371406940404,-0.503438068448928,0.09908397871187341
2,1.1,-1.2432616660341744,0.004536239148568377,-1.2976475557249554,-1.269121215585619,0.041040982812079685,-0.24681287280671038,0.038782743701269315,0.41571486183118916,-0.3860534383052746,-0.17305885423162,0.039805363609605016,-0.5158020606515926,0.0867199865092088
3,1.1,-1.2529212370580936,0.09582352508295422,-1.305184820992425,-1.2684168345294893,0.04284703919245936,-0.24107746518016918,0.04451815132781053,0.4214502694577304,-0.39178884593181584,-0.1673234466050788,0.0340699559830638,-0.5215374682781339,0.09245539413575
4,1.1,-1.24672500165269,0.09683955874912997,-1.301226390976475,-1.263663808396086,0.0524556888341019,-0.2538775997317791,0.05731828587942045,0.43425040400934034,-0.3789887113802059,-0.1545233120534689,0.021269821431453877,-0.508737333726524,0.07965525958414008
5,1.1,-1.2379277304112661,0.046284922557234154,-1.2916783721205247,-1.2629181214608254,0.05115630810170391,-0.25838149381185,0.06182217995949137,0.42974650992926944,-0.3834926054602768,-0.15001941797339796,0.016765927351382954,-0.5132412278065949,0.08415915366421099
6,1.1,-1.241514332090269,0.057706928392884826,-1.2954382232490338,-1.2638788359239697,0.05489355148004993,-0.2542012394788117,0.05764192562645305,0.43392676426230775,-0.3876728597933151,-0.15419967230643628,0.012585673018344633,-0.5174214821396332,0.07997889933117266
7,1.1,-1.2390510370382721,0.10137874941940406,-1.2921664307660083,-1.2643798034638167,0.056453214150069764,-0.2499896500429783,0.05343033619061967,0.43813835369814114,-0.3918844492291485,-0.15841126174226966,0.008374083582511248,-0.5216330715754667,0.08419048876700605
8,1.1,-1.2347898083029278,0.10414127635426884,-1.287645327856405,-1.2642658606171606,0.056218723090566636,-0.25083166683639335,0.054272352984034725,0.4389803704915562,-0.39272646602256356,-0.15925327853568472,0.009216100375926305,-0.5224750883688818,0.0850325055604211
9,1.1,-1.2376031353864299,0.10871879304822452,-1.2906607792976643,-1.2633711081929506,0.05688072136678124,-0.2536728340294746,0.057113520177115996,0.44182153768463744,-0.3898852988294823,-0.15641211134260344,0.012057267569007575,-0.525316255561963,0.08219133836733984
10,1.1,-1.2257669646697715,0.11744220195978294,-1.2773953006225809,-1.2637258878909052,0.05621141679857389,-0.25060271819770685,0.06018363600888373,0.4448916535164052,-0.39295541466125006,-0.15948222717437116,0.01512738340077531,-0.5283863713937308,0.08526145419910758
11,1.1,-1.243421413775041,0.08388169032286186,-1.2952374366314818,-1.2643539316020904,0.05947929506659322,-0.2470945017919757,0.05667541960315259,0.4483998699221363,-0.3964636310669812,-0.1629904435801023,0.011619166995044167,-0.531894587799462,0.08175323779337644
12,1.1,-1.2181468422976487,0.09704889571109021,-1.2682014957507777,-1.2623997503891586,0.0515684067659663,-0.2561075706510063,0.06568848846218321,0.4393868010631057,-0.4054766999260118,-0.15397737472107167,0.020632235854074796,-0.5409076566584926,0.09076630665240706
13,1.1,-1.2273677951581181,0.10930654672873752,-1.2778555722350124,-1.2648297511972488,0.05014981766357374,-0.2512470558792379,0.06082797369041479,0.43452628629133727,-0.4006161851542434,-0.1588378894928401,0.02549275062584322,-0.5360471418867242,0.08590579188063864
14,1.1,-1.220801615219569,0.1286425023032769,-1.2702643330535524,-1.264984228182584,0.049836478160614206,-0.24961673229081874,0.06245829727883395,0.43615660987975646,-0.4022465087426626,-0.16046821308125928,0.027123074214262386,-0.5376774654751434,0.0875361154690578
15,1.1,-1.2151066668525514,0.11453444221784359,-1.2638475119802595,-1.2655929585918786,0.048744196646425486,-0.24473015789529093,0.06734487167436178,0.4410431842752843,-0.3973599343471348,-0.16535478747678709,0.032009648609790206,-0.5425640398706713,0.09242268986458563
16,1.1,-1.2247740172815105,0.10460610992545272,-1.274929732913518,-1.2658119391649962,0.04841185437300144,-0.24582552845376443,0.06624950111588827,0.43994781371681074,-0.3984553049056083,-0.1664501580352606,0.03310501916826371,-0.5436594104291448,0.09132731930611213
17,1.1,-1.2330563224805358,0.10925287115092175,-1.2832986628372964,-1.2661624561995268,0.047119707658280996,-0.2407923119213629,0.07128271764828979,0.4349145971844092,-0.3934220883732068,-0.16141694150285907,0.028071802635862193,-0.5486926269615463,0.09636053583851364
18,1.1,-1.2352241183064512,0.10022110551147367,-1.2852932092137057,-1.2657918424345553,0.046346432813543226,-0.24332448333062956,0.06875054623902316,0.4323824257751426,-0.39595425978247345,-0.15888477009359242,0.03060397404512883,-0.551224798370813,0.09382836442924701
